id,이름,종족,직무,연봉,한마디,이력1,근거1,이력2,근거2,이력3,근거3,특이사항,특이근거,정답,해설,풀
seureureuk,스르륵,유령 ♀,guard,연 0 G (통장이 관 속에 있음),제 냉기에 얼어붙지 않은 침입자가 없어요.,"특기: 소름 돋는 냉기, 한밤 흐느낌 (반경 50m)",,신체 특성: 벽·문·사람 통과 가능,,전 직장 평가: '무서웠는데… 도둑이 그냥 지나가더라고요',FAIL,"악수 세 번 시도, 세 번 다 손이 통과함.",FAIL,FAIL,무섭기만 하고 못 막는다 — 경비의 본질은 저지력이다. 탈락이 정답. 대신 원격 흐느낌 경보 알바를 제안받고 수락했다.,day1
paswaegi,파쇄기,종이 골렘 ⚧,adm,"연 2,300 G (물·불·풀칠 취급 수당 요구)",저는 서류로 만들어졌습니다. 서류의 마음을 압니다.,"몸의 재질: 미납 독촉장 1,200장 (접착제는 원한)",PASS,"특기: 문서 분류(본능), 위조 감지 — 가짜 서류가 닿으면 몸이 가려움",PASS,"약점: 물, 불, 풀칠",,악수하자 손에서 독촉장이 한 장 떨어짐. 본인 명함이라고 함.,,PASS,"위조를 피부로 감지하는 행정 인재다. 합격이 정답. 단, 임프 '불장난' 씨와의 같은 층 배치는 영구 금지되었다.",day1
ppeongbolin,뻥볼린,고블린 ♂,adm,"연 8,000 G (총사령관 예우)",내가 왕년에 마왕군 전체를 지휘했지.,경력: 마왕군 총사령관 30년 (증명서 자필 첨부),FAIL,증명서 직인이 감자 도장임 (육안으로 확인됨),FAIL,"특기: 통솔력, 카리스마, 감자 조각",,직인의 감자에서 싹이 자라는 중. 최근에 판 도장이라는 뜻.,FAIL,FAIL,허풍은 악당의 미덕이나 감자 도장 위조는 행정 결격(서류 위조)이다. 탈락이 정답. 감자 조각 솜씨만은 아깝다는 평가가 있었다.,day1
nayana,나야나,도플갱어 ⚧,adm,희망 연봉: 당신과 같게,저는 귀 팀에 꼭 맞는 인재입니다. 문자 그대로요.,경력: 마왕성 인사팀장 30년 (어디서 많이 본 경력),FAIL,자기소개서가 인사팀장 카우즈 님 것과 토씨까지 동일,FAIL,"특기: 적응력, 융화력, 얼굴 바꾸기",,증명사진이 보는 각도마다 다른 얼굴임. 지금은 당신 얼굴.,FAIL,FAIL,남의 서류 위조는 재능이지만 '본인 이력서 위조'는 결격 1항이다. 탈락이 정답. 카우즈 팀장은 이날 밤 자기 경력서를 금고에 넣었다.,day1
neugeut,느긋,나태 악마 ♂,adm,연봉 협상은 나중에…,일은… 내일의 제가 할 겁니다.,경력: 7대 죄악 공단 나태부 (출근 기록 없음),FAIL,"특기: 미루기, 반차, 반반차, 반반반차",FAIL,이력서 작성 기간: 4년 (아직 미완성),,이력서 마지막 줄: '나머지는 나중에 쓰겠' (여기서 끊김),FAIL,FAIL,악마력은 진퉁이나 '야근 내성' 정면 결격이다. 탈락이 정답. 본인은 탈락 통보 개봉을 다음 달로 미뤄 아직 결과를 모른다.,day1
jupangwisin,주판귀신,유령 ♀,acct,연 0 G (생전 미지급 잔업수당 정산 조건),숫자는 죽어서도 따라와요.,생전 직업: 왕실 회계사 (사인: 과로),PASS,특기: 밤샘 결산 — 잠이 없음 (죽어서),PASS,신체 특성: 벽을 통과해 금고 안에서 근무 가능,,제출 장부에 손도 안 댔는데 검산이 끝나 있음. 소름 돋지만 전부 정확함.,,PASS,경비 유령은 떨어져도 회계 유령은 붙는다 — 저지력은 없어도 계산력은 벽을 뚫는다. 합격이 정답. 종족이 아니라 직무 적합이 전부다.,day1
donjeon,동전세공,고블린 ♂,acct,"연 2,000 G (동전으로 지급 요구 — 세기 위해)",한 푼도 못 줍니다. 그게 제 일이니까요.,"취미: 동전 세기 (최고 기록 1,048,576개, 오차 0)",PASS,전 직장 별명: '한 푼도 못 준다' (급여 담당),PASS,자격: 주판 명인전 3연패,,면접 대기 중 인사팀 비품을 전수조사함 — 깃펜 12자루 중 3자루 분실 지적.,PASS,PASS,대기실에서 비품 감사를 끝내는 인재라니. 합격이 정답. 지적된 깃펜 3자루는 미믹 와그작 씨 입가에서 단서가 나왔다.,day1
peongpeong,펑펑,임프 ♀,acct,"연 3,000 G (선불 희망)",돈은 쓰라고 있는 거 아니에요?,경력: 저주 상점 운영 (구역 매출 1위),,폐업 사유: 수익 전액으로 불꽃놀이 (매일 밤),FAIL,포부: 마왕성 예산으로 대륙 최대 불꽃축제 개최,FAIL,이력서에 금박 장식 — 제출용 한 장에 300G를 썼다고 자랑함.,FAIL,FAIL,버는 재능은 진짜인데 쓰는 재능이 더 크다 — 회계 결격(씀씀이 헤픔). 탈락이 정답. 불꽃축제 기획서만 이벤트팀에 전달했다.,day1
gudusoe,구두쇠왕,드워프 ♂,acct,"연 1,000 G ('돈은 됐고 금고 열쇠나')",금 냄새는 못 속입니다.,전 직장: 산왕 금고 (경력 200년),,퇴사 사유: '견해 차이' (상세 기재 거부),FAIL,"특기: 금 감정, 금고 문 따기… 아니 잠그기 (본인 수정)",FAIL,추천서 발신인 주소가 '산왕 교도소'임.,FAIL,FAIL,경력은 화려한데 추천서가 교도소에서 왔다 — 횡령 전과는 회계 결격 1항이다. 탈락이 정답. '따기'를 '잠그기'로 고친 필적까지 확인됐다.,day1
meokkaebi,먹깨비,미믹 ♂,acct,"연 1,500 G + 간식(금속류)",보관이라니까요. 위장에.,특기: 금고 위장 — 진짜 금고와 구분 불가,,전 직장 감사 결과: 금고 안 금화가 '소화 중'이었음,FAIL,본인 해명: '삼킨 게 아니라 심층 보관한 것',FAIL,지급된 면접 교통비 3G를 받는 즉시 삼킴.,FAIL,FAIL,"금고가 되는 것과 금고를 지키는 것은 다르고, 보관과 소화도 다르다. 탈락이 정답. 같은 미믹이라도 와그작(경비 합격)과는 길이 갈렸다.",day1
bamsonnim,밤손님,캣버글러 (고양이 수인) ♀,acct,"연 3,500 G (성과급: 막아낸 도난액의 1%)",털어본 놈이 제일 잘 지킵니다.,전직: 대도 — 왕실 금고 침입 성공 3회 (전부 자수),PASS,전향 사유: '털다 보니 지키는 쪽이 더 어려워 보여서',,특기: 모든 침입 수법 숙지 (절반은 본인이 개발),PASS,면접 전에 인사팀 금고의 보안 허점 4개를 메모로 제출함. 확인 결과 전부 사실.,PASS,PASS,금고를 가장 잘 지키는 자는 가장 잘 털던 자다. 합격이 정답. — 결격인 전과는 '들킨 횡령'(구두쇠왕 참조)이지 실력 그 자체가 아니다. 전과의 결을 구분하라.,day1
inkppuri,잉크뿌리,크라켄 ♂,adm,"연 2,600 G (수분 보충 수당 포함)",팔이 남아서 야근이 무섭지 않습니다.,특기: 8개 팔로 문서 8건 동시 작성,PASS,잉크 자체 생산 — 연간 잉크 예산 0G,PASS,주의: 긴장하면 먹물 분사 (서류 훼손 이력 있음),,제출 서류 8부가 전부 자필인데 필체가 완전히 동일함.,,PASS,"행정 처리량 8배에 잉크 자급까지. 합격이 정답. 먹물 사고 대비로 책상에 방수포가, 옆자리에 세탁비 예산이 배정되었다.",day1
nakseo,낙서쟁이,임프 ♂,adm,"연 1,700 G + 크레용",여백은 채우라고 있는 거잖아요.,특기: 문서 여백 그림 (이 이력서 여백 참조),FAIL,전과: 왕국 공문서 전체에 수염 낙서 (지명수배 이력),FAIL,포부: 모든 직인 옆에 웃는 얼굴 추가,,이력서 여백에 인사팀장 카우즈 님 캐리커처 (수염 추가됨). 그림 실력은 인정.,FAIL,FAIL,"공문서는 캔버스가 아니다. 탈락이 정답. 캐리커처는 누군가에 의해 몰래 탕비실 게시판에 붙었고, 범인은 아직 잡히지 않았다.",day1
hoguwang,호구왕,오우거 ♂,adm,"연 2,200 G ('깎으셔도 됩니다')",다들 사정이 있는 거잖아요.,경력: 다리 통행세 징수 10년,,10년 총 수금액: 0G ('다들 사정이 있다더라'),FAIL,보유 자산: '마왕성 주식' 증서 3장 (마왕성은 비상장임),FAIL,면접 오는 길에 '성문 입장권'을 20G 주고 구입함. 그런 것은 판매된 적 없음.,FAIL,FAIL,10년간 한 푼도 못 걷은 징수원 — 착해서가 아니라 속아서다. 행정은 의심이 절반이다. 탈락이 정답. 입장권 판매범은 경비팀이 추적 중이다.,day1
gawison,가위손,맨티스 ♀,adm,"연 2,300 G (낫 연마비 포함)",모서리가 어긋난 서류를 보면 참을 수 없습니다.,특기: 서류 재단 (오차 0.1mm),PASS,전 직장: 왕실 문서고 파쇄 담당 (기밀 유출 0건),PASS,주의: 흥분하면 낫질 (서류가 8등분됨),,명함을 그 자리에서 잘라 만들어 건넴. 모서리가 자로 잰 듯함.,,PASS,재단·파쇄·기밀 관리 — 문서고의 장인이다. 합격이 정답. 흥분 관리용 연습 파지가 매주 한 상자씩 지급된다.,day1
eungae,응애,리치 ♂,adm,마음의 크기만큼,위대한 나를 몰라보다니.,경력: 사령술 700년 (자칭 대마도사),,"요구 조건: 오후 낮잠, 간식 상시 제공, 잦은 칭찬",FAIL,퇴사 사유 (전 직장 12곳 공통): '아무도 나를 떠받들지 않음',FAIL,연봉 희망란에 '마음의 크기만큼'이라고 적음. 계약서에 쓸 수 없는 단위임.,FAIL,FAIL,실력이 아니라 대접이 목적인 지원자 — 12번의 퇴사가 13번째를 예고한다. 탈락이 정답. 칭찬은 셀프로 하시길.,day1
cheolbyeok,철벽,골렘 ♂,guard,"연 2,100 G (도색비 별도)",문이 없으면 제가 문입니다.,재질: 현무암 (충격 흡수율 99%),PASS,전 직장: 산성 정문 300년 (지각 0회 — 문에서 삶),PASS,특기: 서 있기 (전문 분야),,이력서를 돌판이 아니라 종이로 제출함 — '요즘은 이게 예의라고 들었다.',,PASS,300년 무지각의 벽. 합격이 정답. 오크 돌쇠 씨와의 2교대 체제가 이날 성사되었다 — 서 있기 장인 두 명의 만남이다.,day1
sallang,살랑살랑,서큐버스 ♀,guard,"연 4,000 G (미모 유지비 포함)",제가 서 있으면 아무도 안 지나가요. 못 지나가는 게 아니라.,특기: 매혹 — 침입자가 제 발로 돌아감,,문제: 돌아간 침입자들이 선물을 들고 재방문 (월 평균 12명),FAIL,전 직장 평가: '경비인지 안내데스크인지 모르겠음',FAIL,면접 대기 30분 만에 경비병 2명이 커피를 사다 바침.,FAIL,FAIL,쫓아낸 용사가 꽃다발을 들고 돌아오면 그건 경비가 아니라 영업이다. 탈락이 정답. 홍보팀이 즉시 스카우트 의사를 밝혔다.,day1
gompangi,곰팡이,마이코니드 ♂,guard,"연 1,400 G (습기 보장 조건)",그늘에서라면 누구보다 오래 서 있습니다.,특기: 포자 살포 — 반경 10m 재채기 유발,,근무 스타일: 미동 없이 대기 (버섯이라),,"주의: 햇빛을 받으면 3시간 낮잠 (광합성 아님, 그냥 잠)",FAIL,면접실 창가 자리에 앉힌 지 5분 만에 반쯤 잠들어 있음.,FAIL,FAIL,성문은 하필 해가 잘 든다 — 능력이 아니라 근무지 궁합의 문제다. 탈락이 정답. 지하 창고 경비 자리가 나면 1순위로 부르기로 했다.,day1
beonjjeok,번쩍,번개 정령 ♀,guard,"연 2,700 G (접지 시설 요구)",악수는 사양할게요. 서로를 위해.,특기: 접근 시 자동 방전 (침입자 무력화),PASS,"전 직장: 마법탑 피뢰침 (겸직, 근태 완벽)",PASS,주의: 우천 시 위력 3배 (본인도 제어 불가),,악수를 시도한 인턴의 머리카락이 면접 내내 서 있었음.,,PASS,접근 즉시 감전 — 경비의 이상형이다. 합격이 정답. 우천 시 '성문 3m 접근 금지' 표지판만 세우기로 했다.,day1
ppiyak,삐약,병아리 마수 ♂,guard,연 800 G (좁쌀 별도),크면 무서워질 예정입니다.,자기소개: '크면 무서워질 예정' (예정임),FAIL,현재 신장: 23cm,FAIL,특기: 째려보기 (효과 검증되지 않음),,위협 시범 중 '삐약' 소리가 남. 인사팀 전원이 순서대로 쓰다듬음.,FAIL,FAIL,"잠재력 채용은 없다 — 지금 무서워야 경비다. 탈락이 정답. 단, 성장 후 재지원 약속을 받아냈다 (예상 소요: 15년).",day1
dubaero,두배로,도플갱어 ⚧,guard,"연 2,900 G (2인분처럼 보이지만 1인분)","침입자가 저를 만나면, 자기 자신과 싸우게 됩니다.",특기: 침입자로 변신해 침입자를 혼란시킴,PASS,전 직장: 미궁 경비 — 침입자 자진 이탈률 98%,PASS,주의: 가끔 본인도 본인이 헷갈림,,면접 중 면접관(당신)으로 변신해 '이 지원자 합격이오'라고 함. 도로 변신시킴.,,PASS,"같은 도플갱어라도 서류 위조(나야나)와 직무 활용은 다르다 — 혼란은 경비의 무기다. 합격이 정답. 단, 근태 확인은 지문으로 하기로 했다.",day1
